Division	Class	Order	Species	SFLAG	STAGE	Author	AphiaID	Trophy	Geometric shape	FORMULA	SizeClassNo	Nonvalid_SIZCL	Not_accepted	Unit	Size range	Length(l1)µm	Length(l2)µm	Width(w)µm	Height(h)µm	Diameter(d1)µm	Diameter(d2)µm	No. of cells/ counting unit	Calculated  volume µm3	Comment	Filament: length of cell (µm)	Calculated Carbon pg/counting unit	Comment on Carbon calculation	Corrections/Additions 2013
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa conferta			(W. et G.S West) Komarkova-Legnerova et Cronberg 1994		AU	sphere	p/6*d^3	1			cell	 1.5-2.4					1,8		1	3	*		0,6	based on individual cell size	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa conferta			(W. et G.S West) Komarkova-Legnerova et Cronberg 1994		AU	sphere	p/6*d^3	2			colony	 1.5-2.4					1,8		20	61	*		12	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa conferta			(W. et G.S West) Komarkova-Legnerova et Cronberg 1994		AU	sphere	p/6*d^3	3			colony	 1.5-2.4					1,8		50	153	*		31	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa conferta			(W. et G.S West) Komarkova-Legnerova et Cronberg 1994		AU	sphere	p/6*d^3	4			colony	 1.5-2.4					1,8		100	305	*		62	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa conferta			(W. et G.S West) Komarkova-Legnerova et Cronberg 1994		AU	sphere	p/6*d^3	5			colony	 1.5-2.4					1,8		200	610	*		123	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa delicatissima			W. & G.S. West 1912		AU	sphere	p/6*d^3	1			cell	 0.5-1.2					0,9		1	0,3			0,1	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa delicatissima			W. & G.S. West 1912		AU	sphere	p/6*d^3	2			colony	 0.5-1.2					0,9		20	6			1,5	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa delicatissima			W. & G.S. West 1912		AU	sphere	p/6*d^3	3			colony	 0.5-1.2					0,9		50	16			4	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa delicatissima			W. & G.S. West 1912		AU	sphere	p/6*d^3	4			colony	 0.5-1.2					0,9		100	32			7	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa delicatissima			W. & G.S. West 1912		AU	sphere	p/6*d^3	5			colony	 0.5-1.2					0,9		200	64			15	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa delicatissima			W. & G.S. West 1912		AU	sphere	p/6*d^3	6			colony	 0.5-1.2					0,9		400	129			30	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa delicatissima			W. & G.S. West 1912		AU	sphere	p/6*d^3	7			colony	 0.5-1.2					0,9		600	193			45	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa elachista			W. & G.S. West 1894		AU	sphere	p/6*d^3	1			cell	 1.3-2					1,7		1	2			0,5	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa elachista			W. & G.S. West 1894		AU	sphere	p/6*d^3	2			colony	 1.3-2					1,7		20	47			10	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa elachista			W. & G.S. West 1894		AU	sphere	p/6*d^3	3			colony	 1.3-2					1,7		50	118			24	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa elachista			W. & G.S. West 1894		AU	sphere	p/6*d^3	4			colony	 1.3-2					1,7		100	235			48	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa elachista			W. & G.S. West 1894		AU	sphere	p/6*d^3	5			colony	 1.3-2					1,7		200	470			96	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa holsatica			(Lemmermann) Cronberg & Komárek 1994		AU	sphere	p/6*d^3	1			cell	1					1,0		1	0,5			0,1	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa holsatica			(Lemmermann) Cronberg & Komárek 1994		AU	sphere	p/6*d^3	2			colony	1					1,0		20	10			2	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa holsatica			(Lemmermann) Cronberg & Komárek 1994		AU	sphere	p/6*d^3	3			colony	1					1,0		50	26			6	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa holsatica			(Lemmermann) Cronberg & Komárek 1994		AU	sphere	p/6*d^3	4			colony	1					1,0		100	52			12	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa holsatica			(Lemmermann) Cronberg & Komárek 1994		AU	sphere	p/6*d^3	5			colony	1					1,0		200	105			24	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa incerta			(Lemmermann) Cronberg & Komárek 1994		AU	sphere	p/6*d^3	1			cell	1					1,0		1	0,5			0,1	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa incerta			(Lemmermann) Cronberg & Komárek 1994		AU	sphere	p/6*d^3	2			colony	1					1,0		20	10			2	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa incerta			(Lemmermann) Cronberg & Komárek 1994		AU	sphere	p/6*d^3	3			colony	1					1,0		50	26			6	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa incerta			(Lemmermann) Cronberg & Komárek 1994		AU	sphere	p/6*d^3	4			colony	1					1,0		100	52			12	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa incerta			(Lemmermann) Cronberg & Komárek 1994		AU	sphere	p/6*d^3	5			colony	1					1,0		200	105			24	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa planctonica			(G.M. Smith) Komárek & Anagnostidis 1995		AU	sphere	p/6*d^3	1			cell	 2-3					2,5		1	8			1,6	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa planctonica			(G.M. Smith) Komárek & Anagnostidis 1995		AU	sphere	p/6*d^3	2			colony	 2-3					2,5		20	164			31	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa planctonica			(G.M. Smith) Komárek & Anagnostidis 1995		AU	sphere	p/6*d^3	3			colony	 2-3					2,5		50	409			78	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa planctonica			(G.M. Smith) Komárek & Anagnostidis 1995		AU	sphere	p/6*d^3	4			colony	 2-3					2,5		100	818			155	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa planctonica			(G.M. Smith) Komárek & Anagnostidis 1995		AU	sphere	p/6*d^3	5			colony	 2-3					2,5		200	1 635			311	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa reinboldii			(P. Richter) Komárek & Anagnostidis 1995		AU	sphere	p/6*d^3	1			cell	 3-4					3,5		1	22			4	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa reinboldii			(P. Richter) Komárek & Anagnostidis 1995		AU	sphere	p/6*d^3	2			colony	 3-4					3,5		20	449			80	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa reinboldii			(P. Richter) Komárek & Anagnostidis 1995		AU	sphere	p/6*d^3	3			colony	 3-4					3,5		50	1 122			200	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa reinboldii			(P. Richter) Komárek & Anagnostidis 1995		AU	sphere	p/6*d^3	4			colony	 3-4					3,5		100	2 244			401	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa reinboldii			(P. Richter) Komárek & Anagnostidis 1995		AU	sphere	p/6*d^3	5			colony	 3-4					3,5		200	4 488			802	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa rivularis			(Carmichael) Rabenhorst 1865		AU	sphere	p/6*d^3	1			cell	 0.8-4					2,4		1	7			1,4	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa rivularis			(Carmichael) Rabenhorst 1865		AU	sphere	p/6*d^3	2			colony	 0.8-4					2,4		20	145			28	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa rivularis			(Carmichael) Rabenhorst 1865		AU	sphere	p/6*d^3	3			colony	 0.8-4					2,4		50	362			69	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa rivularis			(Carmichael) Rabenhorst 1865		AU	sphere	p/6*d^3	4			colony	 0.8-4					2,4		100	723			138	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa rivularis			(Carmichael) Rabenhorst 1865		AU	sphere	p/6*d^3	5			colony	 0.8-4					2,4		200	1 447			277	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa					AU	sphere	p/6*d^3	1			cell	 1-2					1,5		1	1,8			0,4	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa					AU	sphere	p/6*d^3	2			colony	 1-2					1,5		20	35			7	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa					AU	sphere	p/6*d^3	3			colony	 1-2					1,5		50	88			18	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa					AU	sphere	p/6*d^3	4			colony	 1-2					1,5		100	177			37	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa					AU	sphere	p/6*d^3	5			colony	 1-2					1,5		200	353			74	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa					AU	sphere	p/6*d^3	6			cell	 2-4					3,0		1	14			3	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa					AU	sphere	p/6*d^3	7			colony	 2-4					3,0		20	283			52	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa					AU	sphere	p/6*d^3	8			colony	 2-4					3,0		50	707			130	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa					AU	sphere	p/6*d^3	9			colony	 2-4					3,0		100	1 413			260	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa					AU	sphere	p/6*d^3	10			colony	 2-4					3,0		200	2 826			519	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa					AU	sphere	p/6*d^3	11			cell	0.8-1.5					1,2		1	0,9			0,2	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa					AU	sphere	p/6*d^3	12			colony	0.8-1.5					1,2		20	18			4	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa					AU	sphere	p/6*d^3	13			colony	0.8-1.5					1,2		50	45			10	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa					AU	sphere	p/6*d^3	14			colony	0.8-1.5					1,2		100	90			20	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanocapsa					AU	sphere	p/6*d^3	15			colony	0.8-1.5					1,2		200	181			39	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanothece bachmannii			Komárková-Legnerová & Cronberg 1994		AU	rotational ellipsoid	l*w*h/2	1			cell	 0.8-2x0.5-1 	1,3				0,9		1	0,5			0,1	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanothece bachmannii			Komárková-Legnerová & Cronberg 1994		AU	rotational ellipsoid	p/6*d^2*l	2			colony	 0.8-2x0.5-1 	1,3				0,9		20	11			2	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanothece bachmannii			Komárková-Legnerová & Cronberg 1994		AU	rotational ellipsoid	p/6*d^2*l	3			colony	 0.8-2x0.5-1 	1,3				0,9		50	26			6	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanothece bachmannii			Komárková-Legnerová & Cronberg 1994		AU	rotational ellipsoid	p/6*d^2*l	4			colony	 0.8-2x0.5-1 	1,3				0,9		100	53			12	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanothece bachmannii			Komárková-Legnerová & Cronberg 1994		AU	rotational ellipsoid	p/6*d^2*l	5			colony	 0.8-2x0.5-1 	1,3				0,9		200	106			24	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanothece castagnei			(Kützing) Rabenhorst 1865		AU	rotational ellipsoid	p/6*d^2*l	1			cell	 4-8x2-4.8	6,0				3,9		1	48			8	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanothece castagnei			(Kützing) Rabenhorst 1865		AU	rotational ellipsoid	p/6*d^2*l	2			colony	 4-8x2-4.8	6,0				3,9		20	955			163	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanothece castagnei			(Kützing) Rabenhorst 1865		AU	rotational ellipsoid	p/6*d^2*l	3			colony	 4-8x2-4.8	6,0				3,9		50	2 388			407	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanothece castagnei			(Kützing) Rabenhorst 1865		AU	rotational ellipsoid	p/6*d^2*l	4			colony	 4-8x2-4.8	6,0				3,9		100	4 776			815	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanothece castagnei			(Kützing) Rabenhorst 1865		AU	rotational ellipsoid	p/6*d^2*l	5			colony	 4-8x2-4.8	6,0				3,9		200	9 552			1 630	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanothece clathrata			W. & G.S. West 1906		AU	rotational ellipsoid	p/6*d^2*l	1			cell	 0.8-3.5x0.4-2	2,5				1,2		1	1,9			0,4	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanothece clathrata			W. & G.S. West 1906		AU	rotational ellipsoid	p/6*d^2*l	2			colony	 0.8-3.5x0.4-2	2,5				1,2		20	38			8	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanothece clathrata			W. & G.S. West 1906		AU	rotational ellipsoid	p/6*d^2*l	3			colony	 0.8-3.5x0.4-2	2,5				1,2		50	94			20	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanothece clathrata			W. & G.S. West 1906		AU	rotational ellipsoid	p/6*d^2*l	4			colony	 0.8-3.5x0.4-2	2,5				1,2		100	188			39	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanothece clathrata			W. & G.S. West 1906		AU	rotational ellipsoid	p/6*d^2*l	5			colony	 0.8-3.5x0.4-2	2,5				1,2		200	377			78	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanothece minutissima			(W. West) Komárková-Legnerová & Cronberg 1994		AU	rotational ellipsoid	p/6*d^2*l	1			cell	 1-2x0.8-1	1,5				0,9		1	0,6			0,1	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanothece minutissima			(W. West) Komárková-Legnerová & Cronberg 1994		AU	rotational ellipsoid	p/6*d^2*l	2			colony	 1-2x0.8-1	1,5				0,9		20	13			3	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanothece minutissima			(W. West) Komárková-Legnerová & Cronberg 1994		AU	rotational ellipsoid	p/6*d^2*l	3			colony	 1-2x0.8-1	1,5				0,9		50	32			7	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanothece minutissima			(W. West) Komárková-Legnerová & Cronberg 1994		AU	rotational ellipsoid	p/6*d^2*l	4			colony	 1-2x0.8-1	1,5				0,9		100	64			14	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanothece minutissima			(W. West) Komárková-Legnerová & Cronberg 1994		AU	rotational ellipsoid	p/6*d^2*l	5			colony	 1-2x0.8-1	1,5				0,9		200	127			28	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanothece paralleliformis			Cronberg  2003		AU	cylinder	p/4*d^2*h	1			cell	 1.5-2x0.8-1				1,8	0,9		1	1,1			0,2	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanothece paralleliformis			Cronberg  2003		AU	cylinder	p/4*d^2*h	2			colony	 1.5-2x0.8-1				1,8	0,9		20	22,9			4,9	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanothece paralleliformis			Cronberg  2003		AU	cylinder	p/4*d^2*h	3			colony	 1.5-2x0.8-1				1,8	0,9		50	57,2			12,3	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanothece paralleliformis			Cronberg  2003		AU	cylinder	p/4*d^2*h	4			colony	 1.5-2x0.8-1				1,8	0,9		100	114,5			24,5	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanothece paralleliformis			Cronberg  2003		AU	cylinder	p/4*d^2*h	5			colony	 1.5-2x0.8-1				1,8	0,9		200	228,9			49,0	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanothece smithii			Komárková-Legnerová & Cronberg 1994		AU	rotational ellipsoid	p/6*d^2*l	1			cell	 2-3.5x1-1.5	2,8				1,3		1	2			0,5	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanothece smithii			Komárková-Legnerová & Cronberg 1994		AU	rotational ellipsoid	p/6*d^2*l	2			colony	 2-3.5x1-1.5	2,8				1,3		20	45			9	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanothece smithii			Komárková-Legnerová & Cronberg 1994		AU	rotational ellipsoid	p/6*d^2*l	3			colony	 2-3.5x1-1.5	2,8				1,3		50	112			23	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanothece smithii			Komárková-Legnerová & Cronberg 1994		AU	rotational ellipsoid	p/6*d^2*l	4			colony	 2-3.5x1-1.5	2,8				1,3		100	225			46	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanothece smithii			Komárková-Legnerová & Cronberg 1994		AU	rotational ellipsoid	p/6*d^2*l	5			colony	 2-3.5x1-1.5	2,8				1,3		200	450			92	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanothece stagnina			(Sprengel) A. Braun in Rabenhorst 1865		AU	rotational ellipsoid	p/6*d^2*l	1			cell	 3.8-9x3-5	6,4				4,0		1	54			9	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanothece stagnina			(Sprengel) A. Braun in Rabenhorst 1865		AU	rotational ellipsoid	p/6*d^2*l	2			colony	 3.8-9x3-5	6,4				4,0		20	1 072			182	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanothece stagnina			(Sprengel) A. Braun in Rabenhorst 1865		AU	rotational ellipsoid	p/6*d^2*l	3			colony	 3.8-9x3-5	6,4				4,0		50	2 679			454	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanothece stagnina			(Sprengel) A. Braun in Rabenhorst 1865		AU	rotational ellipsoid	p/6*d^2*l	4			colony	 3.8-9x3-5	6,4				4,0		100	5 359			908	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanothece stagnina			(Sprengel) A. Braun in Rabenhorst 1865		AU	rotational ellipsoid	p/6*d^2*l	5			colony	 3.8-9x3-5	6,4				4,0		200	10 718			1 816	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanothece					AU	rotational ellipsoid	p/6*d^2*l	1			cell	 1-2	2,0				1,0		1	1,0			0,2	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanothece					AU	rotational ellipsoid	p/6*d^2*l	2			colony	 1-2	2,0				1,0		20	21			5	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanothece					AU	rotational ellipsoid	p/6*d^2*l	3			colony	 1-2	2,0				1,0		50	52			11	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanothece					AU	rotational ellipsoid	p/6*d^2*l	4			colony	 1-2	2,0				1,0		100	105			23	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanothece					AU	rotational ellipsoid	p/6*d^2*l	5			colony	 1-2	2,0				1,0		200	209			45	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanothece					AU	rotational ellipsoid	p/6*d^2*l	6			cell	 2-4	3,0				2,0		1	6			1,2	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanothece					AU	rotational ellipsoid	p/6*d^2*l	7			colony	 2-4	3,0				2,0		20	126			24	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanothece					AU	rotational ellipsoid	p/6*d^2*l	8			colony	 2-4	3,0				2,0		50	314			61	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanothece					AU	rotational ellipsoid	p/6*d^2*l	9			colony	 2-4	3,0				2,0		100	628			121	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Aphanothece					AU	rotational ellipsoid	p/6*d^2*l	10			colony	 2-4	3,0				2,0		200	1 256			243	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Chroococcales					AU	sphere	p/6*d^3	1			cell	 <2					1,5		1	1,8			0,4	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Chroococcales					AU	sphere	p/6*d^3	2			colony	 <2					1,5		20	35			7	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Chroococcales					AU	sphere	p/6*d^3	3			colony	 <2					1,5		50	88			18	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Chroococcales					AU	sphere	p/6*d^3	4			colony	 <2					1,5		100	177			37	based on individual cell	
CYANOPHYTA (CYANOBACTERIA)	Nostocophyceae (Cyanophyceae)	CHROOCOCCALES	Chroococcales					AU	sphere	p/6*d^3	5			colony	 <2					1,5		200	353			74	based on individual cell	
